,ds,Total,yhat,yhat_lower,yhat_upper,,Diference
534,01/01/20,,,56488.68417,141472.9794,,
535,02/01/20,338431,236301.4407,193099.8655,283840.6378,," 102,130 "
536,03/01/20,338876,267756.7531,222892.6148,308648.289,," 71,119 "
537,04/01/20,280859,312677.5635,266826.6903,357103.2588,,"-31,819 "
538,05/01/20,221441,255520.479,213441.1327,296980.9695,,"-34,079 "
539,06/01/20,112667,127108.7279,83750.17258,171997.8695,,"-14,442 "
540,07/01/20,107275,116164.5308,73992.96027,154952.9753,,"-8,890 "
541,08/01/20, -   ,,54876.83641,137740.8733,, -   
542,09/01/20,116077,111952.2042,68044.06428,152332.1712,," 4,125 "
543,10/01/20,95327,115115.0248,72600.41752,154945.2958,,"-19,788 "
544,11/01/20,216055,280804.5051,239482.0065,325206.0562,,"-64,750 "
545,12/01/20,274174,248215.2339,207618.5968,290417.2341,," 25,959 "
546,13/01/20,220859,191045.1713,149933.5634,230449.4452,," 29,814 "
547,14/01/20,93779,112174.4026,71436.44744,155654.2425,,"-18,395 "
548,15/01/20,,,44495.31367,126165.3997,, -   
549,16/01/20,107391,98628.28611,55106.02387,141311.7258,," 8,763 "
550,17/01/20,101089,100752.5113,59852.28591,144615.0815,, 336 
551,18/01/20,153200,142988.5783,100835.9518,185362.1027,," 10,211 "
552,19/01/20,139842,152597.0042,112633.5557,191890.2193,,"-12,755 "
553,20/01/20,111397,95420.07826,55082.68695,134643.9913,," 15,977 "
554,21/01/20,83612,89492.40569,46881.60853,131704.1791,,"-5,880 "
555,22/01/20,,,29337.27912,115366.8268,, -   
556,23/01/20,79416,83331.91252,40348.57761,128345.2134,,"-3,916 "
557,24/01/20,113225,86209.22545,45063.40696,127752.0317,," 27,016 "
558,25/01/20,138492,129432.6091,88778.08109,168673.8202,," 9,059 "
559,26/01/20,166096,140241.4117,103002.8918,178620.2281,," 25,855 "
560,27/01/20,99064,84452.33034,43865.87596,126894.61,," 14,612 "
561,28/01/20,65286,80070.53827,36782.84921,123060.7588,,"-14,785 "
562,29/01/20,,,19552.1948,102414.8765,, -   
563,30/01/20,92291,77343.12117,36901.36087,118266.2198,," 14,948 "
,," $3,866,221 "," $3,735,796 ",,,,
,,," $130,425 ",,,," 130,425 "